Designator,Footprint,Quantity,Comment,LCSC Part #
"C1,C10",Capacitor_SMD:C_0402_1005Metric,2,1uF,
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17",Capacitor_SMD:C_0402_1005Metric,11,0.1uF,
"C13,C14",Capacitor_SMD:C_0603_1608Metric,2,10uF,
"C15,C16",Capacitor_SMD:C_0402_1005Metric,2,33pF,
J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2,J3",Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J5,J6",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"R1,R2",Resistor_SMD:R_0402_1005Metric,2,5.1K,
"R3,R4",Resistor_SMD:R_0402_1005Metric,2,27,
"R5,R6",Resistor_SMD:R_0402_1005Metric,2,1K,
R7,Resistor_SMD:R_0402_1005Metric,1,10K,
SW1,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
