Designator,Mid X,Mid Y,Layer,Rotation
C1,164.99,-68.8,top,90
C2,155.07,-72.32,top,90
C3,163.77,-70.45,top,90
C4,163.43,-64.68,top,90
C5,164.98,-72.2,top,90
C6,162.41,-65.45,top,90
C7,154.05,-78.45,top,270
C8,166.72,-77.66,top,0
C9,162.527954,-82.329746,top,270
C10,164.02,-67.73,top,45
C11,164.039411,-82.239411,top,315
C12,160.98,-68.42,top,90
C13,160.34,-66.28,top,180
C14,156.905,-55.49,top,180
C15,162.54,-84.27,top,90
C16,157.16,-84.53,top,270
C17,159.99,-67.94,top,90
J1,160.65,-50.7105,top,180
J2,151.76,-48.12,top,0
J3,169.54,-48.12,top,0
J4,158.11,-90.303956,top,90
J5,155.3,-93.84,top,0
J6,166,-93.837974,top,0
R1,162.57,-55.17,top,0
R2,160.25,-55.63,top,270
R3,162.32,-70.6,top,270
R4,161.38,-70.6,top,270
R5,160.957954,-81.899746,top,180
R6,156,-66.76,top,270
R7,157.65,-67.3,top,180
SW1,164.95,-58.69,top,270
U1,160.65,-76.25,top,0
U2,158.26,-61.09,top,90
U3,157.275,-69.12,top,270
Y1,159.81,-84.2,top,180
